fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-arm
  2016/09/23 11:12:05 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:remove...
  2016/09/23 11:12:16 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/listing...
  2016/09/23 11:12:30 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/listing...
  2016/09/23 11:12:30 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/listing...
  2016/09/23 11:12:41 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-writablepaths...
  2016/09/23 11:12:44 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/ubuntu-core-writablepaths...
  2016/09/23 11:12:51 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/remove-errors...
  2016/09/23 11:13:06 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/remove-errors...
  2016/09/23 11:13:17 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-control...
  2016/09/23 11:13:24 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-control...
  2016/09/23 11:13:35 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-network-control...
  2016/09/23 11:13:45 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-log-observe...
  2016/09/23 11:13:53 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-log-observe...
  2016/09/23 11:13:58 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-log-observe...
  2016/09/23 11:14:10 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:goServer...
  2016/09/23 11:14:28 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:goServer...
  2016/09/23 11:14:28 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:goServer...
  2016/09/23 11:14:41 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:pythonServer...
  2016/09/23 11:15:00 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:pythonServer...
  2016/09/23 11:15:01 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/server-snap:pythonServer...
  2016/09/23 11:15:13 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-run-symlink-error...
  2016/09/23 11:15:17 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-run-symlink-error...
  2016/09/23 11:15:29 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/...
  2016/09/23 11:15:39 Restoring external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 11:15:40 Discarding external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 11:15:40 Successful tasks: 65
  2016/09/23 11:15:40 Aborted tasks: 0
